Gene	experiment	X18MM1
ECs2553	X18LL1	2105
ECs2554	X18LL1	1646
ECs2555	X18LL1	4222
ECs2556	X18LL1	1488
ECs2557	X18LL1	6139
ECs2558	X18LL1	8797
ECs2559	X18LL1	832
ECs2560	X18LL1	5366
ECs2561	X18LL1	9582
ECs2562	X18LL1	17540
ECs2563	X18LL1	2429
ECs2564	X18LL1	10165
ECs2565	X18LL1	9901
ECs2566	X18LL1	25113
ECs2567	X18LL1	12815
ECs2568	X18LL1	2399
ECs2569	X18LL1	2204
ECs2570	X18LL1	8289
ECs2571	X18LL1	4734
ECs2572	X18LL1	123
ECs2573	X18LL1	2929
ECs2574	X18LL1	7851
ECs2575	X18LL1	4168
ECs2576	X18LL1	27559
ECs2577	X18LL1	2149
ECs2578	X18LL1	1781
ECs2579	X18LL1	2097
ECs2580	X18LL1	5211
ECs2581	X18LL1	5193
ECs2582	X18LL1	1174
ECs2583	X18LL1	113
ECs2584	X18LL1	5812
ECs2585	X18LL1	2699
ECs2586	X18LL1	28760
ECs2587	X18LL1	1673
ECs2588	X18LL1	98
ECs2589	X18LL1	290
ECs2590	X18LL1	102
ECs2591	X18LL1	290
ECs2592	X18LL1	187
ECs2593	X18LL1	147
ECs2594	X18LL1	263
ECs2595	X18LL1	894
ECs2596	X18LL1	1080
ECs2597	X18LL1	491
ECs2598	X18LL1	1730
ECs2599	X18LL1	1031
ECs2600	X18LL1	1780
ECs2601	X18LL1	1070
ECs2602	X18LL1	1020
ECs2603	X18LL1	366
ECs2604	X18LL1	1179
ECs2605	X18LL1	437
ECs2606	X18LL1	187
ECs2607	X18LL1	69
ECs2608	X18LL1	504
ECs2609	X18LL1	260
ECs2610	X18LL1	991
ECs2611	X18LL1	4150
ECs2612	X18LL1	253
ECs2613	X18LL1	22903
ECs2614	X18LL1	594
ECs2615	X18LL1	3636
ECs2616	X18LL1	5476
ECs2617	X18LL1	341
ECs2618	X18LL1	31
ECs2619	X18LL1	174
ECs2620	X18LL1	513
ECs2621	X18LL1	23
ECs2622	X18LL1	25
ECs2623	X18LL1	35
ECs2624	X18LL1	12
ECs2625	X18LL1	14
ECs2626	X18LL1	15
ECs2627	X18LL1	7
ECs2628	X18LL1	3
ECs2629	X18LL1	4
ECs2630	X18LL1	1090
ECs2631	X18LL1	0
ECs2632	X18LL1	36
ECs2633	X18LL1	253
ECs2634	X18LL1	235
ECs2635	X18LL1	26
ECs2636	X18LL1	880
ECs2637	X18LL1	142
ECs2638	X18LL1	163
ECs2639	X18LL1	140
ECs2640	X18LL1	111
ECs2641	X18LL1	517
ECs2642	X18LL1	10
ECs2643	X18LL1	154
ECs2644	X18LL1	164
ECs2645	X18LL1	733
ECs2646	X18LL1	233
ECs2647	X18LL1	1352
ECs2648	X18LL1	294
ECs2649	X18LL1	312
leuZ	X18LL1	1919
cysT	X18LL1	1756
glyW	X18LL1	5597
ECs2650	X18LL1	2252
ECs2651	X18LL1	6561
ECs2652	X18LL1	7771
ECs2653	X18LL1	7734
ECs2654	X18LL1	3204
ECs2655	X18LL1	492
ECs2656	X18LL1	323
ECs2657	X18LL1	373
ECs2658	X18LL1	585
ECs2659	X18LL1	634
ECs2660	X18LL1	190
ECs2661	X18LL1	193
ECs2662	X18LL1	8684
ECs2663	X18LL1	970
ECs2664	X18LL1	204
ECs2665	X18LL1	261
ECs2666	X18LL1	2122
ECs2667	X18LL1	1111
ECs2668	X18LL1	2831
ECs2669	X18LL1	388
ECs2670	X18LL1	323
ECs2671	X18LL1	2496
ECs2672	X18LL1	356
ECs2673	X18LL1	71
ECs2674	X18LL1	340
ECs2675	X18LL1	60
ECs2676	X18LL1	10
ECs2677	X18LL1	139
ECs2678	X18LL1	150
ECs2679	X18LL1	108
ECs2680	X18LL1	117
ECs2681	X18LL1	65
ECs2682	X18LL1	373
ECs2683	X18LL1	153
ECs2684	X18LL1	240
ECs2685	X18LL1	49
ECs2686	X18LL1	45
ECs2687	X18LL1	124
ECs2688	X18LL1	67
ECs2689	X18LL1	332
ECs2690	X18LL1	1443
ECs2691	X18LL1	658
ECs2692	X18LL1	1123
dsrA	X18LL1	19
ECs2693	X18LL1	412
ECs2694	X18LL1	2970
ECs2695	X18LL1	231
ECs2696	X18LL1	929
ECs2697	X18LL1	1016
ECs2698	X18LL1	987
ECs2699	X18LL1	9549
ECs2700	X18LL1	1785
ECs2701	X18LL1	351
ECs2702	X18LL1	109
ECs2703	X18LL1	385
ECs2704	X18LL1	32
ECs2705	X18LL1	407
ECs2706	X18LL1	1057
ECs2707	X18LL1	787
ECs2708	X18LL1	260
ECs2709	X18LL1	413
ECs2710	X18LL1	400
ECs2711	X18LL1	950
ECs2712	X18LL1	510
ECs2713	X18LL1	258
ECs2714	X18LL1	741
ECs2715	X18LL1	1514
ECs2716	X18LL1	99
ECs2717	X18LL1	141
ECs2718	X18LL1	95
ECs2719	X18LL1	1684
ECs2720	X18LL1	353
ECs2721	X18LL1	125
ECs2722	X18LL1	66
ECs2723	X18LL1	100
ECs2724	X18LL1	66
ECs2725	X18LL1	31
ECs2726	X18LL1	144
ECs2727	X18LL1	49
ECs2728	X18LL1	93
ECs2729	X18LL1	99
ECs2730	X18LL1	34
ECs2731	X18LL1	38
ECs2732	X18LL1	49
ECs2733	X18LL1	293
ECs2734	X18LL1	12
ECs2735	X18LL1	226
ECs2736	X18LL1	206
ECs2737	X18LL1	69
ECs2739	X18LL1	23
ECs2738	X18LL1	0
ECs2740	X18LL1	11
ECs2741	X18LL1	401
ECs2742	X18LL1	73
ECs2743	X18LL1	31
ECs2744	X18LL1	759
ECs2745	X18LL1	1392
ECs2746	X18LL1	2144
ECs2747	X18LL1	1326
ECs2748	X18LL1	1767
ECs2749	X18LL1	3290
argO7	X18LL1	3126
argN5	X18LL1	0
ileZ7	X18LL1	153
ECs2750	X18LL1	61
ECs2751	X18LL1	64
ECs2752	X18LL1	1774
ECs2753	X18LL1	1509
ECs2754	X18LL1	12606
ECs2755	X18LL1	573
ECs2756	X18LL1	723
ECs2757	X18LL1	33
ECs2758	X18LL1	4
ECs2759	X18LL1	28
ECs2760	X18LL1	19
ECs2761	X18LL1	96
ECs2762	X18LL1	34
ECs2763	X18LL1	122
ECs2764	X18LL1	69
ECs2765	X18LL1	315
ECs2766	X18LL1	8324
ECs2767	X18LL1	202
ECs2768	X18LL1	26
ECs2769	X18LL1	14
ECs2770	X18LL1	331
ECs2771	X18LL1	107
ECs2772	X18LL1	98
ECs2773	X18LL1	1088
serU	X18LL1	255
ECs2774	X18LL1	611
asnT	X18LL1	256
ECs2775	X18LL1	999
ECs2776	X18LL1	1817
ECs2777	X18LL1	89
ECs2778	X18LL1	2390
ECs2779	X18LL1	2412
ECs2780	X18LL1	3436
asnW	X18LL1	343
ECs2781	X18LL1	164
ECs2782	X18LL1	1341
asnU	X18LL1	42
ECs2783	X18LL1	2142
ECs2784	X18LL1	1019
asnV	X18LL1	207
ECs2785	X18LL1	2732
ECs2786	X18LL1	680
ECs2787	X18LL1	282
ECs2788	X18LL1	511
ECs2789	X18LL1	97
ECs2790	X18LL1	157
ECs2791	X18LL1	642
ECs2792	X18LL1	4261
ECs2793	X18LL1	27
ECs2794	X18LL1	527
ECs2795	X18LL1	1499
ECs2796	X18LL1	1461
ECs2797	X18LL1	345
ECs2798	X18LL1	529
ECs2799	X18LL1	568
ECs2800	X18LL1	925
ECs2801	X18LL1	199
ECs2802	X18LL1	228
ECs2803	X18LL1	205
ECs2804	X18LL1	126
ECs2805	X18LL1	121
ECs2806	X18LL1	200
ECs2807	X18LL1	190
ECs2808	X18LL1	756
ECs2809	X18LL1	8630
ECs2810	X18LL1	4035
ECs2811	X18LL1	1932
ECs2812	X18LL1	5837
ECs2813	X18LL1	4097
ECs2814	X18LL1	523
ECs2815	X18LL1	1051
ECs2816	X18LL1	42420
ECs2817	X18LL1	1154
ECs2818	X18LL1	3375
ECs2819	X18LL1	187
ECs2820	X18LL1	1747
ECs2821	X18LL1	977
ECs2822	X18LL1	1138
ECs2823	X18LL1	1822
ECs2824	X18LL1	687
ECs2825	X18LL1	941
ECs2826	X18LL1	1227
ECs2827	X18LL1	2413
ECs2828	X18LL1	27543
ECs2829	X18LL1	5787
ECs2830	X18LL1	30947
ECs2831	X18LL1	3921
ECs2832	X18LL1	874
ECs2833	X18LL1	1510
ECs2834	X18LL1	2088
ECs2835	X18LL1	32071
ECs2836	X18LL1	27267
ECs2837	X18LL1	6484
ECs2838	X18LL1	19289
ECs2839	X18LL1	24873
ECs2840	X18LL1	4007
ECs2841	X18LL1	12608
ECs2842	X18LL1	4414
ECs2843	X18LL1	2959
ECs2844	X18LL1	4877
ECs2845	X18LL1	3527
ECs2846	X18LL1	11459
ECs2847	X18LL1	29409
ECs2848	X18LL1	524
ECs2849	X18LL1	450
ECs2850	X18LL1	653
ECs2851	X18LL1	559
ECs2852	X18LL1	786
ECs2853	X18LL1	809
ECs2854	X18LL1	552
ECs2855	X18LL1	459
ECs2856	X18LL1	256
ECs2857	X18LL1	807
ECs2858	X18LL1	1659
ECs2859	X18LL1	431
ECs2860	X18LL1	606
ECs2861	X18LL1	736
ECs2862	X18LL1	416
ECs2863	X18LL1	92
ECs2864	X18LL1	558
ECs2865	X18LL1	1354
ECs2866	X18LL1	118
ECs2867	X18LL1	766
ECs2868	X18LL1	6582
ECs2869	X18LL1	1350
ECs2870	X18LL1	977
ECs2871	X18LL1	9252
ECs2872	X18LL1	6627
ECs2873	X18LL1	12827
ECs2874	X18LL1	693
ECs2875	X18LL1	150
ECs2876	X18LL1	453
ECs2877	X18LL1	597
ECs2878	X18LL1	16539
ECs2879	X18LL1	1512
ECs2880	X18LL1	273
ECs2881	X18LL1	186
ECs2882	X18LL1	926
ECs2883	X18LL1	1676
ECs2884	X18LL1	1257
ECs2885	X18LL1	651
ECs2886	X18LL1	628
ECs2887	X18LL1	760
ECs2888	X18LL1	214
ECs2889	X18LL1	7722
ECs2890	X18LL1	105
ECs2891	X18LL1	25
ECs2892	X18LL1	648
ECs2893	X18LL1	1957
ECs2894	X18LL1	226
ECs2895	X18LL1	257
ECs2896	X18LL1	11
ECs2897	X18LL1	18
ECs2898	X18LL1	115
ECs2899	X18LL1	51
ECs2900	X18LL1	847
ECs2901	X18LL1	373
ECs2902	X18LL1	329
ECs2903	X18LL1	577
ECs2904	X18LL1	1393
ECs2905	X18LL1	1250
ECs2906	X18LL1	2766
ECs2907	X18LL1	4570
ECs2908	X18LL1	760
ECs2909	X18LL1	198
ECs2910	X18LL1	607
ECs2911	X18LL1	1180
ECs2912	X18LL1	1011
ECs2913	X18LL1	1966
ECs2914	X18LL1	148
ECs2915	X18LL1	154
ECs2916	X18LL1	23
ECs2917	X18LL1	44
ECs2918	X18LL1	988
ECs2919	X18LL1	18649
ECs2920	X18LL1	31150
ECs2921	X18LL1	292
ECs2922	X18LL1	405
ECs2923	X18LL1	472
ECs2924	X18LL1	274
ECs2925	X18LL1	698
ECs2926	X18LL1	75
ECs2927	X18LL1	574
ECs2928	X18LL1	696
ECs2929	X18LL1	82
ECs2930	X18LL1	147
ECs2931	X18LL1	592
ECs2932	X18LL1	1002
ECs2933	X18LL1	702
ECs2934	X18LL1	821
ECs2935	X18LL1	4564
ECs2936	X18LL1	519
ECs2937	X18LL1	995
ECs2938	X18LL1	189
ECs2939	X18LL1	2175
ECs2940	X18LL1	546
ECs2941	X18LL1	537
ECs2942	X18LL1	525
ECs2943	X18LL1	944
ECs2944	X18LL1	258
ECs2945	X18LL1	103
ECs2946	X18LL1	67
ECs2947	X18LL1	79
ECs2948	X18LL1	47
ECs2949	X18LL1	698
ECs2950	X18LL1	110
ECs2951	X18LL1	244
ECs2952	X18LL1	168
ECs2953	X18LL1	63
ECs2954	X18LL1	74
ECs2955	X18LL1	21
ECs2956	X18LL1	35
ECs2957	X18LL1	257
ECs2958	X18LL1	337
ECs2959	X18LL1	1552
ECs2960	X18LL1	1076
ECs2961	X18LL1	635
ECs2962	X18LL1	26
ECs2963	X18LL1	603
ECs2964	X18LL1	81
ECs2966	X18LL1	486
ECs2965	X18LL1	0
ECs2967	X18LL1	286
ECs2968	X18LL1	138
ECs2969	X18LL1	75
ECs2970	X18LL1	196
ECs2971	X18LL1	201
ECs2972	X18LL1	1938
ECs2973	X18LL1	995
ECs2974	X18LL1	7067
ECs2975	X18LL1	226
ECs2976	X18LL1	54
ECs2977	X18LL1	442
ECs2978	X18LL1	45
ECs2979	X18LL1	210
ECs2980	X18LL1	40
ECs2981	X18LL1	535
ECs2982	X18LL1	305
ECs2983	X18LL1	382
ECs2984	X18LL1	310
ECs2985	X18LL1	1396
ECs2986	X18LL1	5873
ECs2987	X18LL1	5873
ECs2988	X18LL1	4207
ECs2989	X18LL1	5833
ECs2990	X18LL1	6725
ECs2991	X18LL1	2929
ECs2992	X18LL1	7763
ECs2994	X18LL1	1182
ECs2993	X18LL1	7638
ECs2995	X18LL1	24829
ECs2996	X18LL1	7030
ECs2997	X18LL1	0
ECs2998	X18LL1	0
ECs2999	X18LL1	0
ECs3000	X18LL1	2436
ECs3001	X18LL1	9100
ECs3002	X18LL1	6341
ECs3003	X18LL1	462
ECs3004	X18LL1	305
ECs3005	X18LL1	1129
ECs3006	X18LL1	1036
ECs3007	X18LL1	3814
ECs3008	X18LL1	693
ECs3009	X18LL1	1624
ECs3010	X18LL1	1773
ECs3011	X18LL1	1923
ECs3012	X18LL1	1768
ECs3013	X18LL1	14472
ECs3014	X18LL1	828
ECs3015	X18LL1	2372
ECs3016	X18LL1	464
ECs3017	X18LL1	435
ECs3018	X18LL1	653
ECs3019	X18LL1	6294
ECs3020	X18LL1	7025
ECs3021	X18LL1	3541
ECs3022	X18LL1	275
ECs3023	X18LL1	1225
ECs3024	X18LL1	299
ECs3025	X18LL1	339
ECs3026	X18LL1	3505
ECs3027	X18LL1	735
ECs3028	X18LL1	129
ECs3029	X18LL1	187
ECs3030	X18LL1	156
ECs3031	X18LL1	231
ECs3032	X18LL1	677
ECs3033	X18LL1	2164
ECs3034	X18LL1	1705
ECs3035	X18LL1	1530
ECs3036	X18LL1	710
ECs3037	X18LL1	142
ECs3038	X18LL1	256
ECs3039	X18LL1	249
ECs3040	X18LL1	160
ECs3041	X18LL1	200
ECs3042	X18LL1	316
ECs3043	X18LL1	793
ECs3044	X18LL1	2737
ECs3045	X18LL1	8655
ECs3046	X18LL1	2806
ECs3047	X18LL1	1590
ECs3048	X18LL1	12077
ECs3049	X18LL1	1938
ECs3050	X18LL1	2564
ECs3051	X18LL1	3222
ECs3052	X18LL1	2657
ECs3053	X18LL1	199
ECs3054	X18LL1	105
ECs3055	X18LL1	68
ECs3056	X18LL1	292
ECs3057	X18LL1	90
ECs3058	X18LL1	56
ECs3059	X18LL1	4299
ECs3060	X18LL1	2500
ECs3061	X18LL1	4680
ECs3062	X18LL1	4487
ECs3063	X18LL1	10832
ECs3064	X18LL1	1192
ECs3065	X18LL1	1377
ECs3066	X18LL1	4641
ECs3067	X18LL1	47247
ECs3068	X18LL1	8464
ECs3069	X18LL1	2258
ECs3070	X18LL1	904
ECs3071	X18LL1	970
ECs3072	X18LL1	3572
ECs3073	X18LL1	2948
ECs3074	X18LL1	6210
ECs3075	X18LL1	5887
ECs3076	X18LL1	1972
ECs3077	X18LL1	76569
ECs3078	X18LL1	11403
ECs3079	X18LL1	6110
ECs3080	X18LL1	20304
proL	X18LL1	367
ECs3081	X18LL1	1854
ECs3082	X18LL1	1452
ECs3083	X18LL1	708
ECs3084	X18LL1	190
ECs3085	X18LL1	332
ECs3086	X18LL1	116
ECs3087	X18LL1	23
ECs3088	X18LL1	262
ECs3089	X18LL1	218
ECs3090	X18LL1	376
ECs3091	X18LL1	379
ECs3092	X18LL1	37
ECs3093	X18LL1	30
ECs3094	X18LL1	28
ECs3095	X18LL1	355
ECs3096	X18LL1	10
ECs3097	X18LL1	59
ECs3098	X18LL1	5591
ECs3099	X18LL1	7117
ECs3100	X18LL1	2198
ECs3101	X18LL1	604
ECs3102	X18LL1	1845
ECs3103	X18LL1	6913
ECs3104	X18LL1	191703
micF	X18LL1	72
ECs3105	X18LL1	15409
ECs3106	X18LL1	15511
ECs3107	X18LL1	9625
ECs3108	X18LL1	184
ECs3109	X18LL1	100
ECs3110	X18LL1	187
ECs3111	X18LL1	1278
ECs3112	X18LL1	80
ECs3113	X18LL1	262
ECs3114	X18LL1	61067
ECs3115	X18LL1	4250
ECs3116	X18LL1	1296
ECs3117	X18LL1	19504
ECs3118	X18LL1	6792
ECs3119	X18LL1	847
ECs3120	X18LL1	1564
ECs3121	X18LL1	282
ECs3122	X18LL1	60
ECs3123	X18LL1	22
ECs3124	X18LL1	842
ECs3125	X18LL1	258
ECs3126	X18LL1	176
ECs3127	X18LL1	168
ECs3128	X18LL1	374
ECs3129	X18LL1	415
ECs3130	X18LL1	1514
ECs3131	X18LL1	506
ECs3132	X18LL1	331
ECs3133	X18LL1	1445
ECs3134	X18LL1	172
ECs3135	X18LL1	169
ECs3136	X18LL1	105
ECs3137	X18LL1	3642
ECs3138	X18LL1	764
ECs3139	X18LL1	691
ECs3140	X18LL1	3114
ECs3141	X18LL1	7343
ECs3142	X18LL1	3224
ECs3143	X18LL1	6768
ECs3144	X18LL1	2766
ECs3145	X18LL1	5324
ECs3146	X18LL1	2162
ECs3147	X18LL1	383
ECs3148	X18LL1	2083
ECs3149	X18LL1	1933
ECs3150	X18LL1	2579
ECs3151	X18LL1	134
ECs3152	X18LL1	991
ECs3153	X18LL1	2205
ECs3154	X18LL1	1170
ECs3155	X18LL1	844
ECs3156	X18LL1	2309
ECs3157	X18LL1	130
ECs3158	X18LL1	75
ECs3159	X18LL1	186
ECs3160	X18LL1	17146
ECs3161	X18LL1	18669
ECs3162	X18LL1	10442
ECs3163	X18LL1	496
ECs3164	X18LL1	3520
ECs3165	X18LL1	3111
ECs3166	X18LL1	9304
ECs3167	X18LL1	29584
ECs3168	X18LL1	8595
ECs3169	X18LL1	3114
ECs3170	X18LL1	20574
ECs3171	X18LL1	17173
ECs3172	X18LL1	9178
ECs3173	X18LL1	3107
ECs3174	X18LL1	4449
ECs3175	X18LL1	1533
ECs3176	X18LL1	3096
ECs3177	X18LL1	2321
ECs3178	X18LL1	3546
ECs3179	X18LL1	2685
ECs3180	X18LL1	72482
ECs3181	X18LL1	59610
ECs3182	X18LL1	1269
ECs3183	X18LL1	3374
ECs3184	X18LL1	3194
ECs3185	X18LL1	691
ECs3186	X18LL1	207
ECs3187	X18LL1	1167
ECs3188	X18LL1	2151
ECs3189	X18LL1	539
ECs3190	X18LL1	368
ECs3191	X18LL1	373
ECs3192	X18LL1	802
ECs3193	X18LL1	1545
ECs3194	X18LL1	1462
ECs3195	X18LL1	2875
ECs3196	X18LL1	5911
ECs3197	X18LL1	5448
ECs3198	X18LL1	4721
ECs3199	X18LL1	7375
ECs3200	X18LL1	37251
ECs3201	X18LL1	3942
ECs3202	X18LL1	3454
ECs3203	X18LL1	10747
ECs3204	X18LL1	9175
ECs3205	X18LL1	2571
ECs3206	X18LL1	2155
ECs3207	X18LL1	8088
ECs3208	X18LL1	1905
ECs3209	X18LL1	2746
ECs3210	X18LL1	2781
ECs3211	X18LL1	3210
ECs3212	X18LL1	2778
ECs3213	X18LL1	5462
ECs3215	X18LL1	5939
ECs3214	X18LL1	1123
ECs3216	X18LL1	513
ECs3217	X18LL1	69
ECs3218	X18LL1	83
ECs3219	X18LL1	55
ECs3220	X18LL1	62
ECs3221	X18LL1	269
ECs3222	X18LL1	77
ECs3223	X18LL1	16001
ECs3224	X18LL1	834
ECs3225	X18LL1	287
ECs3226	X18LL1	474
ECs3227	X18LL1	31019
ECs3228	X18LL1	259
ECs3229	X18LL1	4159
ECs3230	X18LL1	342
argW	X18LL1	149
ECs3231	X18LL1	856
ECs3232	X18LL1	115
ECs3233	X18LL1	123
ECs3234	X18LL1	67
ECs3235	X18LL1	79
ECs3236	X18LL1	152
ECs3237	X18LL1	11
ECs3238	X18LL1	777
ECs3239	X18LL1	363
ECs3240	X18LL1	362
ECs3241	X18LL1	534
ECs3242	X18LL1	125
ECs3243	X18LL1	1558
ECs3244	X18LL1	6983
ECs3245	X18LL1	836
ECs3246	X18LL1	246
ECs3247	X18LL1	50
ECs3248	X18LL1	602
ECs3249	X18LL1	1857
ECs3250	X18LL1	283
ECs3251	X18LL1	10
ECs3252	X18LL1	123
ECs3253	X18LL1	193
ECs3254	X18LL1	177
ECs3255	X18LL1	100
ECs3256	X18LL1	60
ECs3257	X18LL1	191
ECs3258	X18LL1	24988
ECs3259	X18LL1	1455
ECs3260	X18LL1	3666
ECs3261	X18LL1	2018
ECs3262	X18LL1	1300
ECs3263	X18LL1	684
ECs3264	X18LL1	64
ECs3265	X18LL1	101
ECs3266	X18LL1	129
ECs3267	X18LL1	24
ECs3268	X18LL1	667
ECs3269	X18LL1	691
ECs3270	X18LL1	2040
ECs3271	X18LL1	1882
ECs3272	X18LL1	8154
ECs3273	X18LL1	9921
alaX	X18LL1	1068
alaW	X18LL1	714
ECs3274	X18LL1	1591
ECs3275	X18LL1	1608
ECs3276	X18LL1	3539
ECs3277	X18LL1	2487
ECs3278	X18LL1	19642
valU	X18LL1	2117
valX	X18LL1	3510
valY	X18LL1	473
lysV	X18LL1	172
ECs3279	X18LL1	699
ECs3280	X18LL1	435
ECs3281	X18LL1	885
ECs3282	X18LL1	1616
ECs3283	X18LL1	7091
ECs3284	X18LL1	9204
ECs3285	X18LL1	2949
ECs3286	X18LL1	3567
ECs3287	X18LL1	15585
ECs3288	X18LL1	51876
ECs3289	X18LL1	25600
ECs3290	X18LL1	2826
ECs3291	X18LL1	505
ECs3292	X18LL1	508
ECs3293	X18LL1	265
ECs3294	X18LL1	185
ECs3295	X18LL1	249
ECs3296	X18LL1	354
ECs3297	X18LL1	734
ECs3298	X18LL1	162
ECs3299	X18LL1	224
ECs3300	X18LL1	254
ECs3301	X18LL1	585
ECs3302	X18LL1	8276
ECs3303	X18LL1	4776
ECs3304	X18LL1	720
ECs3305	X18LL1	1298
ECs3306	X18LL1	3125
ECs3307	X18LL1	1044
ECs3308	X18LL1	359
ECs3309	X18LL1	86
ECs3310	X18LL1	141
ECs3311	X18LL1	103
ECs3312	X18LL1	159
ECs3313	X18LL1	62
ECs3314	X18LL1	102
ECs3315	X18LL1	22
ECs3316	X18LL1	10
ECs3317	X18LL1	17
ECs3318	X18LL1	4
ECs3319	X18LL1	22
ECs3320	X18LL1	21
ECs3321	X18LL1	20
ECs3322	X18LL1	49
ECs3323	X18LL1	27
ECs3324	X18LL1	7
ECs3325	X18LL1	2224
ECs3326	X18LL1	551
ECs3327	X18LL1	1025
ECs3328	X18LL1	817
ECs3329	X18LL1	593
ECs3330	X18LL1	292
ECs3331	X18LL1	1522
ECs3332	X18LL1	1813
ECs3333	X18LL1	530
ECs3334	X18LL1	8588
ECs3335	X18LL1	1065
ECs3336	X18LL1	1990
ECs3337	X18LL1	1861
ECs3338	X18LL1	1918
ECs3339	X18LL1	20711
ECs3340	X18LL1	23617
ECs3341	X18LL1	1534
ECs3342	X18LL1	4008
ECs3343	X18LL1	106
ECs3344	X18LL1	184
ECs3345	X18LL1	48
ECs3346	X18LL1	114
ECs3347	X18LL1	142
ECs3348	X18LL1	374
ECs3349	X18LL1	359
ECs3350	X18LL1	68
ECs3351	X18LL1	72
ECs3352	X18LL1	36
ECs3353	X18LL1	373
ECs3354	X18LL1	834
ECs3355	X18LL1	3629
ECs3356	X18LL1	2266
ECs3357	X18LL1	1678
ECs3358	X18LL1	4444
ECs3359	X18LL1	3999
ECs3360	X18LL1	11090
ECs3361	X18LL1	2394
ECs3362	X18LL1	1263
ECs3363	X18LL1	7597
ECs3364	X18LL1	5223
ECs3365	X18LL1	1064
ECs3366	X18LL1	1708
ECs3367	X18LL1	102
ECs3368	X18LL1	581
ECs3369	X18LL1	30366
ECs3370	X18LL1	10774
ECs3371	X18LL1	7083
ECs3372	X18LL1	2415
ECs3373	X18LL1	38453
ECs3374	X18LL1	34243
ECs3375	X18LL1	14961
ECs3376	X18LL1	35786
ECs3377	X18LL1	25998
ECs3378	X18LL1	27895
ECs3379	X18LL1	46294
ECs3380	X18LL1	13757
ECs3381	X18LL1	469
ECs3382	X18LL1	588
ECs3383	X18LL1	248
ECs3384	X18LL1	418
ECs3385	X18LL1	583
ECs3386	X18LL1	5476
ECs3387	X18LL1	1569
ECs3388	X18LL1	2270
ECs3389	X18LL1	6278
ECs3390	X18LL1	1582
ECs3391	X18LL1	2797
ECs3392	X18LL1	6322
ECs3393	X18LL1	4635
ECs3394	X18LL1	6299
ECs3395	X18LL1	5346
ECs3396	X18LL1	11960
ECs3397	X18LL1	5131
ECs3398	X18LL1	10099
ECs3399	X18LL1	51328
ECs3400	X18LL1	1982
ECs3401	X18LL1	1728
ECs3402	X18LL1	2596
ECs3403	X18LL1	198
ECs3404	X18LL1	157
ECs3405	X18LL1	38
ECs3406	X18LL1	55
ECs3407	X18LL1	77
ECs3408	X18LL1	180
ECs3409	X18LL1	101
ECs3410	X18LL1	130
ECs3411	X18LL1	148
ECs3412	X18LL1	51
ECs3413	X18LL1	246
ECs3414	X18LL1	52
ECs3415	X18LL1	282
ECs3416	X18LL1	1093
ECs3417	X18LL1	15403
ECs3418	X18LL1	832
ECs3419	X18LL1	4114
ECs3420	X18LL1	3437
ECs3421	X18LL1	2721
ECs3422	X18LL1	3995
ECs3423	X18LL1	3074
ECs3424	X18LL1	4117
ECs3425	X18LL1	3894
ECs3426	X18LL1	2221
ECs3427	X18LL1	2772
ECs3428	X18LL1	1075
ECs3429	X18LL1	1311
ECs3430	X18LL1	3246
ECs3431	X18LL1	5260
ECs3432	X18LL1	25780
ECs3433	X18LL1	13786
ECs3434	X18LL1	26129
ECs3435	X18LL1	47207
ECs3436	X18LL1	4532
ECs3437	X18LL1	12834
ECs3438	X18LL1	22214
ECs3439	X18LL1	19262
ECs3440	X18LL1	1522
ECs3441	X18LL1	2533
ECs3442	X18LL1	23728
ECs3443	X18LL1	1714
ECs3444	X18LL1	346
ECs3445	X18LL1	1827
ECs3446	X18LL1	2801
ECs3447	X18LL1	16899
ECs3448	X18LL1	3666
ECs3449	X18LL1	2633
ECs3450	X18LL1	1979
ECs3451	X18LL1	1724
ECs3452	X18LL1	20258
ECs3453	X18LL1	746
ECs3454	X18LL1	4347
rrfG	X18LL1	20
rrlG	X18LL1	9282
gltW	X18LL1	4762
rrsG	X18LL1	6213
ECs3455	X18LL1	8851
ECs3456	X18LL1	6411
ECs3457	X18LL1	13411
ECs3458	X18LL1	18079
ECs3459	X18LL1	168
ECs3460	X18LL1	2242
ECs3461	X18LL1	68
ECs3462	X18LL1	2116
ECs3463	X18LL1	2292
ECs3464	X18LL1	1932
ECs3465	X18LL1	217
ECs3466	X18LL1	2311
ECs3467	X18LL1	1603
ECs3468	X18LL1	1310
ECs3469	X18LL1	166644
ECs3470	X18LL1	347790
ECs3471	X18LL1	330215
ECs3472	X18LL1	114425
ECs3473	X18LL1	19194
ECs3474	X18LL1	2850
ECs3475	X18LL1	3773
ECs3476	X18LL1	12798
ECs3477	X18LL1	2205
ECs3478	X18LL1	4354
ECs3479	X18LL1	5322
ECs3480	X18LL1	1414
ECs3481	X18LL1	3000
ECs3482	X18LL1	6275
ssrA	X18LL1	1094285
ECs3483	X18LL1	1332
ECs3484	X18LL1	1138
ECs3485	X18LL1	2201
ECs3486	X18LL1	615
ECs3487	X18LL1	662
ECs3488	X18LL1	54
ECs3489	X18LL1	122
ECs3490	X18LL1	446
ECs3491	X18LL1	1009
ECs3492	X18LL1	1136
ECs3493	X18LL1	917
ECs3494	X18LL1	619
ECs3495	X18LL1	116
ECs3496	X18LL1	65
