Gene	experiment	X18MM1
ECs0526	X18MM1	30684
ECs0527	X18MM1	26213
ECs0528	X18MM1	5537
ECs0529	X18MM1	686
ECs0530	X18MM1	7204
ECs0531	X18MM1	14026
ECs0532	X18MM1	1465
ECs0533	X18MM1	3566
ECs0534	X18MM1	1627
ECs0535	X18MM1	15260
ECs0536	X18MM1	13412
ECs0537	X18MM1	47315
ECs0538	X18MM1	7715
ECs0539	X18MM1	12085
ECs0540	X18MM1	17412
ECs0541	X18MM1	26640
ECs0542	X18MM1	4148
ECs0543	X18MM1	484
ECs0544	X18MM1	392
ECs0545	X18MM1	321
ECs0546	X18MM1	39
ECs0547	X18MM1	0
ECs0548	X18MM1	177
ECs0549	X18MM1	2104
ECs0550	X18MM1	101
ECs0551	X18MM1	796
ECs0552	X18MM1	4120
ECs0553	X18MM1	624
ECs0554	X18MM1	443
ECs0555	X18MM1	8656
ECs0556	X18MM1	2689
ECs0558	X18MM1	2863
ECs0557	X18MM1	1955
ECs0559	X18MM1	2126
ECs0560	X18MM1	854
ECs0561	X18MM1	7
ECs0562	X18MM1	5
ECs0563	X18MM1	243
ECs0564	X18MM1	780
ECs0565	X18MM1	108
ECs0566	X18MM1	86
ECs0567	X18MM1	4439
ECs0568	X18MM1	165
ECs0569	X18MM1	18
ECs0570	X18MM1	191
ECs0571	X18MM1	0
ECs0572	X18MM1	33
ECs0573	X18MM1	61
ECs0574	X18MM1	283
ECs0575	X18MM1	746
ECs0576	X18MM1	116
ECs0577	X18MM1	540
ECs0578	X18MM1	291
ECs0579	X18MM1	98
ECs0580	X18MM1	108
ECs0581	X18MM1	133
ECs0582	X18MM1	61
ECs0583	X18MM1	1029
ECs0584	X18MM1	24857
ECs0585	X18MM1	11011
ECs0586	X18MM1	4044
ECs0587	X18MM1	22997
ECs0588	X18MM1	7904
ECs0589	X18MM1	681
ECs0590	X18MM1	1213
ECs0591	X18MM1	10042
ECs0592	X18MM1	206
ECs0593	X18MM1	75
ECs0594	X18MM1	135
ECs0595	X18MM1	39
ECs0596	X18MM1	19
ECs0597	X18MM1	31
argU	X18MM1	56
ECs0598	X18MM1	400
ECs0599	X18MM1	324
ECs0600	X18MM1	1435
ECs0601	X18MM1	1033
ECs0602	X18MM1	319
ECs0603	X18MM1	791
ECs0604	X18MM1	419
ECs0605	X18MM1	918
ECs0606	X18MM1	35
ECs0607	X18MM1	61
ECs0608	X18MM1	2860
ECs0609	X18MM1	2813
ECs0610	X18MM1	5277
ECs0611	X18MM1	3087
ECs0612	X18MM1	6400
ECs0613	X18MM1	7331
ECs0614	X18MM1	7580
ECs0615	X18MM1	2963
ECs0616	X18MM1	7361
ECs0617	X18MM1	653
ECs0618	X18MM1	781
ECs0619	X18MM1	3718
ECs0620	X18MM1	616
ECs0621	X18MM1	869
ECs0622	X18MM1	205
ECs0623	X18MM1	1291
ECs0624	X18MM1	294
ECs0625	X18MM1	1451
ECs0626	X18MM1	85
ECs0627	X18MM1	211
ECs0628	X18MM1	222
ECs0629	X18MM1	279
ECs0630	X18MM1	327
ECs0631	X18MM1	679
ECs0632	X18MM1	546
ECs0633	X18MM1	595
ECs0634	X18MM1	308
ECs0635	X18MM1	295
ECs0636	X18MM1	189
ECs0637	X18MM1	12972
ECs0638	X18MM1	4221
ECs0639	X18MM1	4019
ECs0640	X18MM1	386
ECs0641	X18MM1	327
ECs0642	X18MM1	144
ECs0643	X18MM1	2837
ECs0644	X18MM1	92977
ECs0645	X18MM1	37277
ECs0646	X18MM1	1966
ECs0647	X18MM1	2795
ECs0648	X18MM1	282
ECs0649	X18MM1	1252
ECs0650	X18MM1	3342
ECs0651	X18MM1	369
ECs0652	X18MM1	73
ECs0653	X18MM1	22
ECs0654	X18MM1	65
ECs0655	X18MM1	57
ECs0656	X18MM1	10
