mysql> select id, accession from sequence where organism like 'Es%';
+------+-----------+
| id   | accession |
|  345 | ECs0337   |
|  346 | ECs0338   |
|  347 | ECs0340   |
|  348 | ECs0339   |
|  349 | ECs0341   |
|  350 | ECs0342   |
|  351 | ECs0343   |
|  352 | ECs0344   |
|  353 | ECs0345   |
|  354 | ECs0346   |
|  355 | ECs0347   |
|  356 | ECs0348   |
|  357 | ECs0349   |
|  358 | ECs0350   |
|  359 | ECs0351   |
|  360 | ECs0352   |
|  361 | ECs0353   |
|  362 | ECs0354   |
|  363 | ECs0355   |
|  364 | ECs0356   |
|  365 | ECs0357   |
|  366 | ECs0358   |
|  367 | ECs0359   |
|  368 | ECs0360   |
|  369 | ECs0361   |
|  370 | ECs0362   |
|  371 | ECs0363   |
|  372 | ECs0364   |
|  373 | ECs0365   |
|  374 | ECs0366   |
|  375 | ECs0367   |
|  376 | ECs0368   |
|  377 | ECs0369   |
|  378 | ECs0370   |
|  379 | ECs0371   |
|  380 | ECs0372   |
|  381 | ECs0373   |
|  382 | ECs0374   |
|  383 | ECs0375   |
|  384 | ECs0376   |
|  385 | ECs0377   |
|  386 | ECs0378   |
|  387 | ECs0379   |
|  388 | ECs0380   |
|  389 | ECs0381   |
|  390 | ECs0382   |
|  391 | ECs0383   |
|  392 | ECs0384   |
|  393 | ECs0385   |
|  394 | ECs0386   |
|  395 | ECs0387   |
|  396 | ECs0388   |
|  397 | ECs0389   |
|  398 | ECs0390   |
|  399 | ECs0391   |
|  400 | ECs0392   |
|  401 | ECs0393   |
|  402 | ECs0394   |
|  403 | ECs0395   |
|  404 | ECs0396   |
|  405 | ECs0397   |
|  406 | ECs0398   |
|  407 | ECs0399   |
|  408 | ECs0400   |
|  409 | ECs0401   |
|  410 | ECs0402   |
|  411 | ECs0403   |
|  412 | ECs0404   |
|  413 | ECs0405   |
|  414 | ECs0406   |
|  415 | ECs0407   |
|  416 | ECs0408   |
|  417 | ECs0409   |
|  418 | ECs0410   |
|  419 | ECs0411   |
|  420 | ECs0412   |
|  421 | ECs0413   |
|  422 | ECs0414   |
|  423 | ECs0415   |
|  424 | ECs0416   |
|  425 | ECs0417   |
|  426 | ECs0418   |
|  427 | ECs0419   |
|  428 | ECs0420   |
|  429 | ECs0421   |
|  430 | ECs0422   |
|  431 | ECs0423   |
|  432 | ECs0424   |
|  433 | ECs0425   |
|  434 | ECs0426   |
|  435 | ECs0427   |
|  436 | ECs0428   |
|  437 | ECs0429   |
|  438 | ECs0430   |
|  439 | ECs0431   |
|  440 | ECs0432   |
|  441 | ECs0433   |
|  442 | ECs0434   |
|  443 | ECs0435   |
|  444 | ECs0437   |
|  445 | ECs0436   |
|  446 | ECs0438   |
|  447 | ECs0439   |
|  448 | ECs0440   |
|  449 | ECs0441   |
|  450 | ECs0442   |
|  451 | ECs0443   |
|  452 | ECs0445   |
|  453 | ECs0444   |
|  454 | ECs0446   |
|  455 | ECs0447   |
|  456 | ECs0448   |
|  457 | ECs0449   |
|  458 | ECs0450   |
|  459 | ECs0451   |
|  460 | ECs0452   |
|  461 | ECs0453   |
|  462 | ECs0454   |
|  463 | ECs0455   |
|  464 | ECs0456   |
|  465 | ECs0457   |
|  466 | ECs0458   |
|  467 | ECs0459   |
|  468 | ECs0460   |
|  469 | ECs0461   |
|  470 | ECs0462   |
|  471 | ECs0463   |
|  472 | ECs0464   |
|  473 | ECs0465   |
|  474 | ECs0466   |
|  475 | ECs0467   |
|  476 | ECs0468   |
|  477 | ECs0469   |
|  478 | ECs0470   |
|  479 | ECs0471   |
|  480 | ECs0472   |
|  481 | ECs0473   |
|  482 | ECs0474   |
|  483 | ECs0475   |
|  484 | ECs0476   |
|  485 | ECs0477   |
|  486 | ECs0478   |
|  487 | ECs0479   |
|  488 | ECs0480   |
|  489 | ECs0481   |
|  490 | ECs0482   |
|  491 | ECs0483   |
|  492 | ECs0484   |
|  493 | ECs0485   |
|  494 | ECs0486   |
|  495 | ECs0487   |
|  496 | ECs0488   |
|  497 | ECs0489   |
|  498 | ECs0490   |
|  499 | ECs0491   |
|  500 | ECs0492   |
|  501 | ECs0493   |
|  502 | ECs0494   |
|  503 | ECs0495   |
|  504 | ECs0496   |
|  505 | ECs0497   |
|  506 | ECs0498   |
|  507 | ECs0499   |
|  508 | ECs0500   |
|  509 | ECs0501   |
|  510 | ECs0502   |
|  511 | ECs0503   |
|  512 | ECs0504   |
|  513 | ECs0505   |
|  514 | ECs0506   |
|  515 | ECs0507   |
|  516 | ECs0508   |
|  517 | ffs       |
|  518 | ECs0509   |
|  519 | ECs0510   |
|  520 | ECs0511   |
|  521 | ECs0512   |
|  522 | ECs0513   |
|  523 | ECs0514   |
|  524 | ECs0515   |
|  525 | ECs0516   |
|  526 | ECs0517   |
|  527 | ECs0518   |
|  528 | ECs0519   |
|  529 | ECs0520   |
|  530 | ECs0521   |
|  531 | ECs0522   |
|  532 | ECs0523   |
|  533 | ECs0524   |
|  534 | ECs0525   |
|  535 | ECs0526   |
|  536 | ECs0527   |
|  537 | ECs0528   |
|  538 | ECs0529   |
|  539 | ECs0530   |
|  540 | ECs0531   |
|  541 | ECs0532   |
|  542 | ECs0533   |
|  543 | ECs0534   |
|  544 | ECs0535   |
|  545 | ECs0536   |
|  546 | ECs0537   |
|  547 | ECs0538   |
|  548 | ECs0539   |
|  549 | ECs0540   |
|  550 | ECs0541   |
|  551 | ECs0542   |
|  552 | ECs0543   |
|  553 | ECs0544   |
|  554 | ECs0545   |
|  555 | ECs0546   |
|  556 | ECs0547   |
|  557 | ECs0548   |
|  558 | ECs0549   |
|  559 | ECs0550   |
|  560 | ECs0551   |
|  561 | ECs0552   |
|  562 | ECs0553   |
|  563 | ECs0554   |
|  564 | ECs0555   |
|  565 | ECs0556   |
|  566 | ECs0558   |
|  567 | ECs0557   |
|  568 | ECs0559   |
|  569 | ECs0560   |
|  570 | ECs0561   |
|  571 | ECs0562   |
|  572 | ECs0563   |
|  573 | ECs0564   |
|  574 | ECs0565   |
|  575 | ECs0566   |
|  576 | ECs0567   |
|  577 | ECs0568   |
|  578 | ECs0569   |
|  579 | ECs0570   |
|  580 | ECs0571   |
|  581 | ECs0572   |
|  582 | ECs0573   |
|  583 | ECs0574   |
|  584 | ECs0575   |
|  585 | ECs0576   |
|  586 | ECs0577   |
|  587 | ECs0578   |
|  588 | ECs0579   |
|  589 | ECs0580   |
|  590 | ECs0581   |
|  591 | ECs0582   |
|  592 | ECs0583   |
|  593 | ECs0584   |
|  594 | ECs0585   |
|  595 | ECs0586   |
|  596 | ECs0587   |
|  597 | ECs0588   |
|  598 | ECs0589   |
|  599 | ECs0590   |
|  600 | ECs0591   |
|  601 | ECs0592   |
|  602 | ECs0593   |
|  603 | ECs0594   |
|  604 | ECs0595   |
|  605 | ECs0596   |
|  606 | ECs0597   |
|  607 | argU      |
|  608 | ECs0598   |
|  609 | ECs0599   |
|  610 | ECs0600   |
|  611 | ECs0601   |
|  612 | ECs0602   |
|  613 | ECs0603   |
|  614 | ECs0604   |
|  615 | ECs0605   |
|  616 | ECs0606   |
|  617 | ECs0607   |
|  618 | ECs0608   |
|  619 | ECs0609   |
|  620 | ECs0610   |
|  621 | ECs0611   |
|  622 | ECs0612   |
|  623 | ECs0613   |
|  624 | ECs0614   |
|  625 | ECs0615   |
|  626 | ECs0616   |
|  627 | ECs0617   |
|  628 | ECs0618   |
|  629 | ECs0619   |
|  630 | ECs0620   |
|  631 | ECs0621   |
|  632 | ECs0622   |
|  633 | ECs0623   |
|  634 | ECs0624   |
|  635 | ECs0625   |
|  636 | ECs0626   |
|  637 | ECs0627   |
|  638 | ECs0628   |
|  639 | ECs0629   |
|  640 | ECs0630   |
|  641 | ECs0631   |
|  642 | ECs0632   |
|  643 | ECs0633   |
|  644 | ECs0634   |
|  645 | ECs0635   |
|  646 | ECs0636   |
|  647 | ECs0637   |
|  648 | ECs0638   |
|  649 | ECs0639   |
|  650 | ECs0640   |
|  651 | ECs0641   |
|  652 | ECs0642   |
|  653 | ECs0643   |
|  654 | ECs0644   |
|  655 | ECs0645   |
|  656 | ECs0646   |
|  657 | ECs0647   |
